Time	Channel A	Channel B
(ms)	(mV)	(V)

0.76500201	11.10874000	5.71428600
0.76502201	9.52177400	5.79363400
0.76504201	11.10874000	5.79363400
0.76506201	10.31526000	5.79363400
0.76508201	10.31526000	5.79363400
0.76510201	11.90222000	5.79363400
0.76512201	11.10874000	5.79363400
0.76514201	11.10874000	5.79363400
0.76516201	11.10874000	5.79363400
0.76518201	11.10874000	5.79363400
0.76520201	11.10874000	5.79363400
0.76522201	11.10874000	5.79363400
0.76524201	11.10874000	5.79363400
0.76526201	11.10874000	5.79363400
0.76528201	11.90222000	5.79363400
0.76530201	11.10874000	5.79363400
0.76532201	11.10874000	5.79363400
0.76534201	11.10874000	5.79363400
0.76536201	11.10874000	5.79363400
0.76538201	11.10874000	5.79363400
0.76540201	11.90222000	5.79363400
0.76542201	12.69570000	5.79363400
0.76544201	11.10874000	5.79363400
0.76546201	11.10874000	5.79363400
0.76548201	11.10874000	5.79363400
0.76550201	10.31526000	5.71428600
0.76552201	11.10874000	5.79363400
0.76554201	11.10874000	5.79363400
0.76556201	11.10874000	5.71428600
0.76558201	11.10874000	5.71428600
0.76560201	11.10874000	5.71428600
0.76562201	11.10874000	5.79363400
0.76564201	11.10874000	5.79363400
0.76566201	10.31526000	5.79363400
0.76568201	11.10874000	5.79363400
0.76570201	11.10874000	5.79363400
0.76572201	11.10874000	5.79363400
0.76574201	11.10874000	5.79363400
0.76576201	10.31526000	5.79363400
0.76578201	11.10874000	5.79363400
0.76580201	10.31526000	5.71428600
0.76582201	11.10874000	5.79363400
0.76584201	11.10874000	5.79363400
0.76586201	11.10874000	5.79363400
0.76588201	11.10874000	5.71428600
0.76590201	10.31526000	5.79363400
0.76592201	10.31526000	5.79363400
0.76594201	11.10874000	5.79363400
0.76596201	10.31526000	5.79363400
0.76598201	11.10874000	5.79363400
0.76600201	9.52177400	5.79363400
0.76602201	9.52177400	5.79363400
0.76604201	11.10874000	5.79363400
0.76606201	11.10874000	5.79363400
0.76608201	10.31526000	5.79363400
0.76610201	11.10874000	5.79363400
0.76612201	11.10874000	5.79363400
0.76614201	9.52177400	5.79363400
0.76616201	9.52177400	5.79363400
0.76618201	11.10874000	5.79363400
0.76620201	9.52177400	5.79363400
0.76622201	11.10874000	5.79363400
0.76624201	11.10874000	5.79363400
0.76626201	11.10874000	5.79363400
0.76628201	10.31526000	5.79363400
0.76630201	11.10874000	5.79363400
0.76632201	10.31526000	5.79363400
0.76634201	11.10874000	5.79363400
0.76636201	9.52177400	5.79363400
0.76638201	11.10874000	5.79363400
0.76640201	9.52177400	5.79363400
0.76642201	10.31526000	5.79363400
0.76644201	11.10874000	5.79363400
0.76646201	11.10874000	5.79363400
0.76648201	9.52177400	5.79363400
0.76650201	11.10874000	5.79363400
0.76652201	10.31526000	5.79363400
0.76654201	11.10874000	5.79363400
0.76656201	9.52177400	5.79363400
0.76658201	11.10874000	5.79363400
0.76660201	9.52177400	5.79363400
0.76662201	11.10874000	5.79363400
0.76664201	10.31526000	5.79363400
0.76666201	10.31526000	5.79363400
0.76668201	11.10874000	5.71428600
0.76670201	11.10874000	5.79363400
0.76672201	11.10874000	5.79363400
0.76674201	11.10874000	5.79363400
0.76676201	11.10874000	5.79363400
0.76678201	11.10874000	5.79363400
0.76680201	9.52177400	5.79363400
0.76682201	9.52177400	5.79363400
0.76684201	11.10874000	5.79363400
0.76686201	11.10874000	5.79363400
0.76688201	11.10874000	5.79363400
0.76690201	11.90222000	5.79363400
0.76692201	10.31526000	5.79363400
0.76694201	11.10874000	5.79363400
0.76696201	11.10874000	5.79363400
0.76698201	11.10874000	5.79363400
0.76700201	12.69570000	5.79363400
0.76702201	11.10874000	5.79363400
0.76704201	11.10874000	5.79363400
0.76706201	11.10874000	5.79363400
0.76708201	11.10874000	5.79363400
0.76710201	11.10874000	5.79363400
0.76712201	11.10874000	5.79363400
0.76714201	11.10874000	5.79363400
0.76716201	11.10874000	5.79363400
0.76718201	9.52177400	5.79363400
0.76720201	11.90222000	5.79363400
0.76722201	11.10874000	5.79363400
0.76724201	11.90222000	5.79363400
0.76726201	11.10874000	5.79363400
0.76728201	11.90222000	5.79363400
0.76730201	11.10874000	5.79363400
0.76732201	11.10874000	5.79363400
0.76734201	11.10874000	5.79363400
0.76736201	11.10874000	5.79363400
0.76738201	11.10874000	5.79363400
0.76740201	11.10874000	5.79363400
0.76742201	11.10874000	5.79363400
0.76744201	11.90222000	5.79363400
0.76746201	11.10874000	5.79363400
0.76748201	11.10874000	5.79363400
0.76750201	11.10874000	5.79363400
0.76752201	12.69570000	5.79363400
0.76754201	11.10874000	5.79363400
0.76756201	11.10874000	5.79363400
0.76758201	11.10874000	5.79363400
0.76760201	11.10874000	5.79363400
0.76762201	12.69570000	5.71428600
0.76764201	11.10874000	5.79363400
0.76766201	12.69570000	5.79363400
0.76768201	11.10874000	5.79363400
